source,target,source label,label,predicate_type,predicate uri
5461,21468,fruit jelly (powdered dessert concentration),preservation by dehydration or drying,formed as a result of,
5461,21489,fruit jelly (powdered dessert concentration),gelatin added,has substance added,
5464,21483,brown bread,whole- shape achieved by forming,has quality,
5464,21456,brown bread,fully heat-treated,has quality,
5464,21516,brown bread,seed (anatomical part),derives from,
5464,12823,brown bread,food baking process,formed as a result of,
5464,5366,brown bread,carbohydrate fermentation process,formed as a result of,
5464,21481,brown bread,flavoring- spice or herb added,has substance added,
5466,18178,onion granules,whole- shape achieved by forming- thickness 0.3-1.5 cm.,has quality,
5466,10108,onion granules,root- tuber or bulb- without peel,derives from,
5466,21467,onion granules,water removal process,formed as a result of,
5467,21464,oyster (smoked- canned),whole- natural shape,has quality,
5467,21456,oyster (smoked- canned),fully heat-treated,has quality,
5467,21508,oyster (smoked- canned),whole animal or most parts used,derives from,
5467,21485,oyster (smoked- canned),smoked or smoke-flavored,formed as a result of,
5467,21484,oyster (smoked- canned),sterilization by heating,formed as a result of,
5469,21464,great northern bean (whole- dried),whole- natural shape,has quality,
5469,21457,great northern bean (whole- dried),seed- skin present- germ present,derives from,
5469,21467,great northern bean (whole- dried),water removal process,formed as a result of,
5469,21468,great northern bean (whole- dried),preservation by dehydration or drying,formed as a result of,
5470,21458,cephalopod (cooked),solid,has quality,
5470,21456,cephalopod (cooked),fully heat-treated,has quality,
5470,21598,cephalopod (cooked),animal body or body part,derives from,
5474,21458,fat of meat from animals except poultry (uncooked),solid,has quality,
5474,21462,fat of meat from animals except poultry (uncooked),not heat-treated,has quality,
5474,21675,fat of meat from animals except poultry (uncooked),fat trimmings,derives from,
5475,21491,horseradish (prepared),semisolid with solid pieces,has quality,
5475,10108,horseradish (prepared),root- tuber or bulb- without peel,derives from,
5475,21494,horseradish (prepared),acidified,formed as a result of,
5476,21464,broccoflower (food product),whole- natural shape,has quality,
5476,21462,broccoflower (food product),not heat-treated,has quality,
5476,21595,broccoflower (food product),plant above surface- excluding fruit and seed,derives from,
5477,21491,apricot chutney (food product),semisolid with solid pieces,has quality,
5477,21503,apricot chutney (food product),fruit- peel removed- core- pit or seed removed,derives from,
5477,21589,apricot chutney (food product),nutritive sweetener added,has substance added,
5477,21481,apricot chutney (food product),flavoring- spice or herb added,has substance added,
5479,21464,snapper fillet (raw),whole- natural shape,has quality,
5479,21462,snapper fillet (raw),not heat-treated,has quality,
5479,18315,snapper fillet (raw),skeletal meat part- without bone or shell,derives from,
5485,18178,club cracker,whole- shape achieved by forming- thickness 0.3-1.5 cm.,has quality,
5485,21456,club cracker,fully heat-treated,has quality,
5485,21530,club cracker,seed- skin removed- germ removed (endosperm),derives from,
5485,12823,club cracker,food baking process,formed as a result of,
5485,21533,club cracker,sucrose added,has substance added,
5485,21581,club cracker,vegetable fat or oil added,has substance added,
5490,14683,cherry and apple beverage base (dry),finely ground,has quality,
5490,12926,cherry and apple beverage base (dry),beverage base- dry,has quality,
5490,21467,cherry and apple beverage base (dry),water removal process,formed as a result of,
5490,21494,cherry and apple beverage base (dry),acidified,formed as a result of,
5490,21468,cherry and apple beverage base (dry),preservation by dehydration or drying,formed as a result of,
5490,21490,cherry and apple beverage base (dry),sweetener added,has substance added,
5490,21481,cherry and apple beverage base (dry),flavoring- spice or herb added,has substance added,
5494,21464,rock shrimp (raw- headless- frozen),whole- natural shape,has quality,
5494,21462,rock shrimp (raw- headless- frozen),not heat-treated,has quality,
5494,21508,rock shrimp (raw- headless- frozen),whole animal or most parts used,derives from,
5494,21476,rock shrimp (raw- headless- frozen),preservation by freezing,formed as a result of,
5495,21458,sablefish smoked using hot-smoking nitrite-treated,solid,has quality,
5495,21456,sablefish smoked using hot-smoking nitrite-treated,fully heat-treated,has quality,
5495,21598,sablefish smoked using hot-smoking nitrite-treated,animal body or body part,derives from,
5495,21535,sablefish smoked using hot-smoking nitrite-treated,smoked by smoke infiltration,formed as a result of,
5495,21499,sablefish smoked using hot-smoking nitrite-treated,salted,formed as a result of,
5495,10001,sablefish smoked using hot-smoking nitrite-treated,curing or aging process,formed as a result of,
5495,18446,sablefish smoked using hot-smoking nitrite-treated,preservation by adding chemicals,formed as a result of,
5496,21458,striped bass (raw),solid,has quality,
5496,21462,striped bass (raw),not heat-treated,has quality,
5496,18205,striped bass (raw),skeletal meat part,derives from,
5500,21464,seaweed (raw),whole- natural shape,has quality,
5500,21462,seaweed (raw),not heat-treated,has quality,
5500,9170,seaweed (raw),part of algae or fungus,derives from,
5500,21564,seaweed (raw),packed in water,immersed in,
5502,21486,fountain syrup (artificially sweetened),liquid- high viscosity- with no visible particles,has quality,
5502,9303,fountain syrup (artificially sweetened),beverage base- liquid,has quality,
5502,21469,fountain syrup (artificially sweetened),nonnutritive sweetener added,has substance added,
5502,21470,fountain syrup (artificially sweetened),flavoring or taste ingredient added,has substance added,
5502,21478,fountain syrup (artificially sweetened),energy special claim or use,has consumer,
5504,21458,searobin (raw),solid,has quality,
5504,21462,searobin (raw),not heat-treated,has quality,
5504,18205,searobin (raw),skeletal meat part,derives from,
5511,21458,walnut shell,solid,has quality,
5511,21462,walnut shell,not heat-treated,has quality,
5511,21705,walnut shell,seed shell,derives from,
5512,21463,infant formula (soy-based- ready-to-feed),liquid- low viscosity- with no visible particles,has quality,
5512,11576,infant formula (soy-based- ready-to-feed),protein extract- concentrate or isolate,derives from,
5512,21645,infant formula (soy-based- ready-to-feed),soy protein added,has substance added,
5512,21528,infant formula (soy-based- ready-to-feed),infant or toddler consumer,has consumer,
5513,2954,beef frankfurter,whole- shape achieved by forming- thickness 1.5-7 cm.,has quality,
5513,21456,beef frankfurter,fully heat-treated,has quality,
5513,19022,beef frankfurter,skeletal meat part- without bone- without skin,derives from,
5513,21485,beef frankfurter,smoked or smoke-flavored,formed as a result of,
5513,13038,beef frankfurter,curing or aging < 2 weeks,formed as a result of,
5513,21519,beef frankfurter,food homogenization or emulsification process,formed as a result of,
5513,21481,beef frankfurter,flavoring- spice or herb added,has substance added,
5516,21491,obsolete: fruit yoghurt,semisolid with solid pieces,has quality,
5516,21504,obsolete: fruit yoghurt,milk (mammary secretion),derives from,
5516,15328,obsolete: fruit yoghurt,lactic acid fermentation process,formed as a result of,
5516,21477,obsolete: fruit yoghurt,http://purl.obolibrary.org/obo/FOODON_03460147,has substance added,
5520,21464,saury fillet in olive oil (salt-cured),whole- natural shape,has quality,
5520,18315,saury fillet in olive oil (salt-cured),skeletal meat part- without bone or shell,derives from,
5520,7886,saury fillet in olive oil (salt-cured),microbial/enzymatic modification process,formed as a result of,
5520,21499,saury fillet in olive oil (salt-cured),salted,formed as a result of,
5520,10001,saury fillet in olive oil (salt-cured),curing or aging process,formed as a result of,
5520,21710,saury fillet in olive oil (salt-cured),preservation by brining,formed as a result of,
5520,21698,saury fillet in olive oil (salt-cured),http://purl.obolibrary.org/obo/FOODON_03460341,has substance added,
5520,4246,saury fillet in olive oil (salt-cured),packed in olive oil,immersed in,
5523,18366,prune juice (canned),can- bottle or jar,surrounded by,
5523,21600,prune juice (canned),liquid- low viscosity- with small particles,has quality,
5523,21456,prune juice (canned),fully heat-treated,has quality,
5523,21473,prune juice (canned),fruit- peel present- core- pit or seed present,derives from,
5523,21484,prune juice (canned),sterilization by heating,formed as a result of,
5527,21629,coffee whitener (frozen),D-glucose,derives from,
5527,21476,coffee whitener (frozen),preservation by freezing,formed as a result of,
5527,21593,coffee whitener (frozen),protein added,has substance added,
5527,21581,coffee whitener (frozen),vegetable fat or oil added,has substance added,
5530,21458,john's snapper (raw),solid,has quality,
5530,21462,john's snapper (raw),not heat-treated,has quality,
5530,18205,john's snapper (raw),skeletal meat part,derives from,
5531,21466,starch molding,starch,derives from,
5532,21486,cooking oil (polyunsaturated),liquid- high viscosity- with no visible particles,has quality,
5532,484,cooking oil (polyunsaturated),fat or oil,derives from,
5534,21507,sardine in tomato sauce (canned),can,surrounded by,
5534,21464,sardine in tomato sauce (canned),whole- natural shape,has quality,
5534,21456,sardine in tomato sauce (canned),fully heat-treated,has quality,
5534,21508,sardine in tomato sauce (canned),whole animal or most parts used,derives from,
5534,6813,sardine in tomato sauce (canned),seafood enamel,adjacent to,http://purl.obolibrary.org/obo/RO_0002220
5534,21484,sardine in tomato sauce (canned),sterilization by heating,formed as a result of,
5534,21529,sardine in tomato sauce (canned),spice or herb added,has substance added,
5534,9118,sardine in tomato sauce (canned),obsolete: vegetable added,has substance added,
5534,6426,sardine in tomato sauce (canned),packed in gravy or sauce- vegetable,immersed in,
5535,21502,imitation chicken salad sandwich spread,semisolid,has quality,
5535,21456,imitation chicken salad sandwich spread,fully heat-treated,has quality,
5535,11576,imitation chicken salad sandwich spread,protein extract- concentrate or isolate,derives from,
5535,11479,imitation chicken salad sandwich spread,flavoring added- artificial,formed as a result of,
5535,21513,imitation chicken salad sandwich spread,color added,has substance added,
5537,21464,white lupine (whole- raw),whole- natural shape,has quality,
5537,21462,white lupine (whole- raw),not heat-treated,has quality,
5537,18436,white lupine (whole- raw),whole plant or most parts used,derives from,
5537,15818,white lupine (whole- raw),food animal as consumer,has consumer,
5541,21464,plantain (whole- raw),whole- natural shape,has quality,
5541,21462,plantain (whole- raw),not heat-treated,has quality,
5541,21473,plantain (whole- raw),fruit- peel present- core- pit or seed present,derives from,
5542,2282,fish (minced- raw),divided into pieces,has quality,
5542,21462,fish (minced- raw),not heat-treated,has quality,
5542,18205,fish (minced- raw),skeletal meat part,derives from,
5545,21458,mushroom (frozen),solid,has quality,
5545,18436,mushroom (frozen),whole plant or most parts used,derives from,
5545,21476,mushroom (frozen),preservation by freezing,formed as a result of,
5546,21486,milk substitute (sweetened- condensed),liquid- high viscosity- with no visible particles,has quality,
5546,21459,milk substitute (sweetened- condensed),partially heat-treated,has quality,
5546,13976,milk substitute (sweetened- condensed),water removal to reconstitution ratio 1 plus 1,formed as a result of,
5546,21461,milk substitute (sweetened- condensed),pasteurization by heating,formed as a result of,
5546,21487,milk substitute (sweetened- condensed),sugar or sugar syrup added,has substance added,
5546,21511,milk substitute (sweetened- condensed),fat or oil added,has substance added,
5547,21458,imitation egg (dried),solid,has quality,
5547,21550,imitation egg (dried),egg,derives from,
5547,21468,imitation egg (dried),preservation by dehydration or drying,formed as a result of,
5547,21513,imitation egg (dried),color added,has substance added,
5548,21464,eliza crab (raw),whole- natural shape,has quality,
5548,21462,eliza crab (raw),not heat-treated,has quality,
5548,21508,eliza crab (raw),whole animal or most parts used,derives from,
5551,21458,bread (honey meal),solid,has quality,
5551,21456,bread (honey meal),fully heat-treated,has quality,
5551,21530,bread (honey meal),seed- skin removed- germ removed (endosperm),derives from,
5551,5366,bread (honey meal),carbohydrate fermentation process,formed as a result of,
5551,21547,bread (honey meal),honey added,has substance added,
5552,7892,bread (homemade),whole- shape achieved by forming- thickness bigger than 7 cm.,has quality,
5552,21456,bread (homemade),fully heat-treated,has quality,
5552,1752,bread (homemade),home prepared,has quality,
5552,21516,bread (homemade),seed (anatomical part),derives from,
5552,12823,bread (homemade),food baking process,formed as a result of,
5552,5366,bread (homemade),carbohydrate fermentation process,formed as a result of,
5552,21590,bread (homemade),http://purl.obolibrary.org/obo/FOODON_03460184,has substance added,
5552,21511,bread (homemade),fat or oil added,has substance added,
5555,21491,jam (in thermally formed packaging),semisolid with solid pieces,has quality,
5555,21456,jam (in thermally formed packaging),fully heat-treated,has quality,
5555,21479,jam (in thermally formed packaging),fruit part,derives from,
5555,21487,jam (in thermally formed packaging),sugar or sugar syrup added,has substance added,
5556,21464,fish fillet (breaded),whole- natural shape,has quality,
5556,18315,fish fillet (breaded),skeletal meat part- without bone or shell,derives from,
5556,21567,fish fillet (breaded),breaded or batter-coated,formed as a result of,
5557,2282,clam (minced- breaded- frozen),divided into pieces,has quality,
5557,21508,clam (minced- breaded- frozen),whole animal or most parts used,derives from,
5557,21567,clam (minced- breaded- frozen),breaded or batter-coated,formed as a result of,
5557,21476,clam (minced- breaded- frozen),preservation by freezing,formed as a result of,
5558,2978,apple jelly (rum-flavored),semisolid with smooth consistency,has quality,
5558,21456,apple jelly (rum-flavored),fully heat-treated,has quality,
5558,7427,apple jelly (rum-flavored),sugar,derives from,
5558,21492,apple jelly (rum-flavored),alcoholated,formed as a result of,
5558,21514,apple jelly (rum-flavored),pectin added,has substance added,
5558,21477,apple jelly (rum-flavored),http://purl.obolibrary.org/obo/FOODON_03460147,has substance added,
5559,2978,cold-pack cheese spread,semisolid with smooth consistency,has quality,
5559,21460,cold-pack cheese spread,curd,derives from,
5559,4883,cold-pack cheese spread,lactic acid-other agent fermentation process,formed as a result of,
5560,21458,bacalao (raw),solid,has quality,
5560,21462,bacalao (raw),not heat-treated,has quality,
5560,18205,bacalao (raw),skeletal meat part,derives from,
5561,18178,sugar wafer,whole- shape achieved by forming- thickness 0.3-1.5 cm.,has quality,
5561,21456,sugar wafer,fully heat-treated,has quality,
5561,21493,sugar wafer,sucrose,derives from,
5561,12823,sugar wafer,food baking process,formed as a result of,
5562,21464,licorice root (whole),whole- natural shape,has quality,
5562,21462,licorice root (whole),not heat-treated,has quality,
5562,12198,licorice root (whole),root- tuber or bulb,derives from,
5563,18366,lychee (canned),can- bottle or jar,surrounded by,
5563,21458,lychee (canned),solid,has quality,
5563,21456,lychee (canned),fully heat-treated,has quality,
5563,21503,lychee (canned),fruit- peel removed- core- pit or seed removed,derives from,
5563,15078,lychee (canned),fruit enamel (f-enamel),adjacent to,http://purl.obolibrary.org/obo/RO_0002220
5563,21484,lychee (canned),sterilization by heating,formed as a result of,
5566,21458,leicester cheese,solid,has quality,
5566,21460,leicester cheese,curd,derives from,
5566,4883,leicester cheese,lactic acid-other agent fermentation process,formed as a result of,
5567,21483,soft taffy,whole- shape achieved by forming,has quality,
5567,21456,soft taffy,fully heat-treated,has quality,
5567,7427,soft taffy,sugar,derives from,
5567,21470,soft taffy,flavoring or taste ingredient added,has substance added,
5567,21548,soft taffy,butter added,has substance added,
5570,21516,food made from wheat,seed (anatomical part),derives from,
5571,9719,cream (sterilized- soft),food (liquid),has quality,
5571,21456,cream (sterilized- soft),fully heat-treated,has quality,
5571,7673,cream (sterilized- soft),cream food product,derives from,
5571,21484,cream (sterilized- soft),sterilization by heating,formed as a result of,
5572,21483,churro,whole- shape achieved by forming,has quality,
5572,21456,churro,fully heat-treated,has quality,
5572,21516,churro,seed (anatomical part),derives from,
5572,4883,churro,lactic acid-other agent fermentation process,formed as a result of,
5572,10001,churro,curing or aging process,formed as a result of,
5572,21584,churro,http://purl.obolibrary.org/obo/FOODON_03460143,has substance added,
5575,8124,mixture of rendered animal fat and vegetable fat,heat-treated,has quality,
5575,21641,mixture of rendered animal fat and vegetable fat,animal fat or oil added,has substance added,
5575,21581,mixture of rendered animal fat and vegetable fat,vegetable fat or oil added,has substance added,
5576,21458,cheese bread,solid,has quality,
5576,21456,cheese bread,fully heat-treated,has quality,
5576,21530,cheese bread,seed- skin removed- germ removed (endosperm),derives from,
5576,5366,cheese bread,carbohydrate fermentation process,formed as a result of,
5576,21584,cheese bread,http://purl.obolibrary.org/obo/FOODON_03460143,has substance added,
5576,21533,cheese bread,sucrose added,has substance added,
5576,21590,cheese bread,http://purl.obolibrary.org/obo/FOODON_03460184,has substance added,
5578,21515,orange fruit beverage,liquid- low viscosity,has quality,
5578,21494,orange fruit beverage,acidified,formed as a result of,
5578,21607,orange fruit beverage,water addition process,has substance added,
5578,21490,orange fruit beverage,sweetener added,has substance added,
5578,21481,orange fruit beverage,flavoring- spice or herb added,has substance added,
5579,7673,cream dessert,cream food product,derives from,
5580,21458,aonori,solid,has quality,
5580,18497,aonori,part of plant,derives from,
5582,18366,sweet pepper (strips- canned),can- bottle or jar,surrounded by,
5582,2282,sweet pepper (strips- canned),divided into pieces,has quality,
5582,21456,sweet pepper (strips- canned),fully heat-treated,has quality,
5582,21563,sweet pepper (strips- canned),pod containing small- immature seed,derives from,
5582,21484,sweet pepper (strips- canned),sterilization by heating,formed as a result of,
5583,21458,rock cornish game bird (raw),solid,has quality,
5583,21462,rock cornish game bird (raw),not heat-treated,has quality,
5583,18205,rock cornish game bird (raw),skeletal meat part,derives from,
5584,14683,paprika,finely ground,has quality,
5584,21503,paprika,fruit- peel removed- core- pit or seed removed,derives from,
5584,21467,paprika,water removal process,formed as a result of,
5584,21468,paprika,preservation by dehydration or drying,formed as a result of,
5586,18366,crustacean (canned),can- bottle or jar,surrounded by,
5586,21458,crustacean (canned),solid,has quality,
5586,21456,crustacean (canned),fully heat-treated,has quality,
5586,21506,crustacean (canned),meat part of animal,derives from,
5586,21484,crustacean (canned),sterilization by heating,formed as a result of,
5588,21464,cockle (frozen),whole- natural shape,has quality,
5588,21508,cockle (frozen),whole animal or most parts used,derives from,
5588,21476,cockle (frozen),preservation by freezing,formed as a result of,
5589,484,fat-based dessert (no added sugar),fat or oil,derives from,
5589,7931,fat-based dessert (no added sugar),no sugars added claim or use,has consumer,
5590,21458,meat (solid),solid,has quality,
5590,18205,meat (solid),skeletal meat part,derives from,
5594,2978,beef shortening (homogenized),semisolid with smooth consistency,has quality,
5594,21456,beef shortening (homogenized),fully heat-treated,has quality,
5594,484,beef shortening (homogenized),fat or oil,derives from,
5594,21519,beef shortening (homogenized),food homogenization or emulsification process,formed as a result of,
5598,21483,ravioli in brine,whole- shape achieved by forming,has quality,
5598,21530,ravioli in brine,seed- skin removed- germ removed (endosperm),derives from,
5598,21501,ravioli in brine,food filling process,formed as a result of,
5598,21538,ravioli in brine,food added,has substance added,
5598,21569,ravioli in brine,packed in salt brine,immersed in,
5600,14683,alfalfa flour,finely ground,has quality,
5600,21661,alfalfa flour,seed- skin removed,derives from,
5600,21467,alfalfa flour,water removal process,formed as a result of,
5600,21468,alfalfa flour,preservation by dehydration or drying,formed as a result of,
5603,21549,imitation coffee substitute,disintegrated or ground,has quality,
5603,21456,imitation coffee substitute,fully heat-treated,has quality,
5603,21467,imitation coffee substitute,water removal process,formed as a result of,
5603,6154,imitation coffee substitute,dietary claim or use,has consumer,
5606,21458,cheese (stirred curd),solid,has quality,
5606,21460,cheese (stirred curd),curd,derives from,
5606,10001,cheese (stirred curd),curing or aging process,formed as a result of,
5606,7975,cheese (stirred curd),interior bacteria curing process,formed as a result of,
5607,21507,sardine (smoke-flavored- canned),can,surrounded by,
5607,21464,sardine (smoke-flavored- canned),whole- natural shape,has quality,
5607,21456,sardine (smoke-flavored- canned),fully heat-treated,has quality,
5607,21508,sardine (smoke-flavored- canned),whole animal or most parts used,derives from,
5607,6813,sardine (smoke-flavored- canned),seafood enamel,adjacent to,http://purl.obolibrary.org/obo/RO_0002220
5607,21485,sardine (smoke-flavored- canned),smoked or smoke-flavored,formed as a result of,
5607,21484,sardine (smoke-flavored- canned),sterilization by heating,formed as a result of,
5610,21458,rainbow trout (raw),solid,has quality,
5610,21462,rainbow trout (raw),not heat-treated,has quality,
5610,18205,rainbow trout (raw),skeletal meat part,derives from,
5614,21458,fish (hot process- smoked),solid,has quality,
5614,21456,fish (hot process- smoked),fully heat-treated,has quality,
5614,18205,fish (hot process- smoked),skeletal meat part,derives from,
5614,21535,fish (hot process- smoked),smoked by smoke infiltration,formed as a result of,
5614,21527,fish (hot process- smoked),preservation by smoking,formed as a result of,
5622,21502,baker's cheese,semisolid,has quality,
5622,21462,baker's cheese,not heat-treated,has quality,
5622,21460,baker's cheese,curd,derives from,
5622,15328,baker's cheese,lactic acid fermentation process,formed as a result of,
5628,2978,butter (hydrogenated),semisolid with smooth consistency,has quality,
5628,21459,butter (hydrogenated),partially heat-treated,has quality,
5628,16090,butter (hydrogenated),mammalian milk butter,derives from,
5628,3094,butter (hydrogenated),food hydrogenation proess,formed as a result of,
5628,21461,butter (hydrogenated),pasteurization by heating,formed as a result of,
5630,21597,spaghetti sauce,semiliquid,has quality,
5630,21473,spaghetti sauce,fruit- peel present- core- pit or seed present,derives from,
5630,21529,spaghetti sauce,spice or herb added,has substance added,
5632,21486,imitation ice milk,liquid- high viscosity- with no visible particles,has quality,
5632,21476,imitation ice milk,preservation by freezing,formed as a result of,
5632,21487,imitation ice milk,sugar or sugar syrup added,has substance added,
5633,21549,butter (dehydrated),disintegrated or ground,has quality,
5633,21459,butter (dehydrated),partially heat-treated,has quality,
5633,16090,butter (dehydrated),mammalian milk butter,derives from,
5633,21467,butter (dehydrated),water removal process,formed as a result of,
5633,21468,butter (dehydrated),preservation by dehydration or drying,formed as a result of,
5636,20848,garlic and onion puree,semiliquid with smooth consistency,has quality,
5636,21462,garlic and onion puree,not heat-treated,has quality,
5636,10108,garlic and onion puree,root- tuber or bulb- without peel,derives from,
5636,9118,garlic and onion puree,obsolete: vegetable added,has substance added,
5642,21483,ravioli pasta,whole- shape achieved by forming,has quality,
5642,21530,ravioli pasta,seed- skin removed- germ removed (endosperm),derives from,
5642,21501,ravioli pasta,food filling process,formed as a result of,
5642,21538,ravioli pasta,food added,has substance added,
5647,5438,beverage base (fruit-flavored),beverage base,has quality,
5647,21494,beverage base (fruit-flavored),acidified,formed as a result of,
5647,21470,beverage base (fruit-flavored),flavoring or taste ingredient added,has substance added,
5647,21490,beverage base (fruit-flavored),sweetener added,has substance added,
5648,21486,fish oil,liquid- high viscosity- with no visible particles,has quality,
5648,484,fish oil,fat or oil,derives from,
5651,21464,purple plum (whole- raw),whole- natural shape,has quality,
5651,21462,purple plum (whole- raw),not heat-treated,has quality,
5651,21479,purple plum (whole- raw),fruit part,derives from,
5655,21458,whole wheat raisin bread,solid,has quality,
5655,21456,whole wheat raisin bread,fully heat-treated,has quality,
5655,21457,whole wheat raisin bread,seed- skin present- germ present,derives from,
5655,5366,whole wheat raisin bread,carbohydrate fermentation process,formed as a result of,
5655,21477,whole wheat raisin bread,http://purl.obolibrary.org/obo/FOODON_03460147,has substance added,
5655,21533,whole wheat raisin bread,sucrose added,has substance added,
5655,21511,whole wheat raisin bread,fat or oil added,has substance added,
5656,21464,pearl millet (raw),whole- natural shape,has quality,
5656,21462,pearl millet (raw),not heat-treated,has quality,
5656,21457,pearl millet (raw),seed- skin present- germ present,derives from,
5656,21467,pearl millet (raw),water removal process,formed as a result of,
5656,21468,pearl millet (raw),preservation by dehydration or drying,formed as a result of,
5664,2634,vegetable stew with meat,semiliquid with solid pieces,has quality,
5664,21456,vegetable stew with meat,fully heat-treated,has quality,
5664,21608,vegetable stew with meat,skeletal meat part- without bone and skin- without separable fat,derives from,
5664,1730,vegetable stew with meat,cooking by simmering,formed as a result of,
5664,14198,vegetable stew with meat,obsolete: meat added,has substance added,
5664,9118,vegetable stew with meat,obsolete: vegetable added,has substance added,
5666,21464,fish roe (sugar treated),whole- natural shape,has quality,
5666,20638,fish roe (sugar treated),ovary- roe,derives from,
5666,21487,fish roe (sugar treated),sugar or sugar syrup added,has substance added,
5673,6154,food for special dietary use,dietary claim or use,has consumer,
5674,21458,shellfish (frozen),solid,has quality,
5674,21506,shellfish (frozen),meat part of animal,derives from,
5674,21476,shellfish (frozen),preservation by freezing,formed as a result of,
5681,21458,deer meat (raw),solid,has quality,
5681,21462,deer meat (raw),not heat-treated,has quality,
5681,18205,deer meat (raw),skeletal meat part,derives from,
5683,21515,fruit spirits,liquid- low viscosity,has quality,
5683,18497,fruit spirits,part of plant,derives from,
5683,13230,fruit spirits,alcohol fermentation process,formed as a result of,
5683,21477,fruit spirits,http://purl.obolibrary.org/obo/FOODON_03460147,has substance added,
5686,21466,confectionery (starch-based- energy reduced),starch,derives from,
5686,21488,confectionery (starch-based- energy reduced),reduced energy food,has consumer,
5688,18366,pimiento (canned),can- bottle or jar,surrounded by,
5688,2282,pimiento (canned),divided into pieces,has quality,
5688,21456,pimiento (canned),fully heat-treated,has quality,
5688,21563,pimiento (canned),pod containing small- immature seed,derives from,
5688,21484,pimiento (canned),sterilization by heating,formed as a result of,
5691,18205,fish for seafood salad,skeletal meat part,derives from,
5693,21458,sablefish (raw),solid,has quality,
5693,21462,sablefish (raw),not heat-treated,has quality,
5693,18205,sablefish (raw),skeletal meat part,derives from,
5694,21486,honey syrup,liquid- high viscosity- with no visible particles,has quality,
5694,21459,honey syrup,partially heat-treated,has quality,
5694,21605,honey syrup,honey,derives from,
5697,14683,filled milk mix (dry),finely ground,has quality,
5697,21459,filled milk mix (dry),partially heat-treated,has quality,
5697,7107,filled milk mix (dry),dry mix,has quality,
5697,21504,filled milk mix (dry),milk (mammary secretion),derives from,
5697,21467,filled milk mix (dry),water removal process,formed as a result of,
5697,8400,filled milk mix (dry),fat substitution process,formed as a result of,
5697,21468,filled milk mix (dry),preservation by dehydration or drying,formed as a result of,
5697,21521,filled milk mix (dry),http://purl.obolibrary.org/obo/FOODON_03460163,has substance added,
5697,21522,filled milk mix (dry),nutrient or dietary substance added,has substance added,
5697,21591,filled milk mix (dry),corn syrup added,has substance added,
5698,14683,sapote flour (food product),finely ground,has quality,
5698,18497,sapote flour (food product),part of plant,derives from,
5698,21467,sapote flour (food product),water removal process,formed as a result of,
5698,21468,sapote flour (food product),preservation by dehydration or drying,formed as a result of,
5699,21458,smelt (raw),solid,has quality,
5699,21462,smelt (raw),not heat-treated,has quality,
5699,18205,smelt (raw),skeletal meat part,derives from,
5700,21464,little lobster (raw),whole- natural shape,has quality,
5700,21462,little lobster (raw),not heat-treated,has quality,
5700,21508,little lobster (raw),whole animal or most parts used,derives from,
5701,21465,chestnut (dried),seed- skin removed- germ present,derives from,
5701,21467,chestnut (dried),water removal process,formed as a result of,
5701,21468,chestnut (dried),preservation by dehydration or drying,formed as a result of,
5703,21464,currant food product,whole- natural shape,has quality,
5703,21462,currant food product,not heat-treated,has quality,
5703,21473,currant food product,fruit- peel present- core- pit or seed present,derives from,
5704,21463,vinegar blend,liquid- low viscosity- with no visible particles,has quality,
5704,21479,vinegar blend,fruit part,derives from,
5704,12440,vinegar blend,alcohol-acetic acid fermentation process,formed as a result of,
5704,10001,vinegar blend,curing or aging process,formed as a result of,
5704,21592,vinegar blend,preservation by heat treatment,formed as a result of,
5704,21546,vinegar blend,ingredient added (TO BE REVISED),has substance added,
5705,21463,fruit juice drink,liquid- low viscosity- with no visible particles,has quality,
5705,21473,fruit juice drink,fruit- peel present- core- pit or seed present,derives from,
5705,21607,fruit juice drink,water addition process,has substance added,
5708,5743,coffee (instant- with natural chicory flavor extract),medium ground,has quality,
5708,21456,coffee (instant- with natural chicory flavor extract),fully heat-treated,has quality,
5708,21465,coffee (instant- with natural chicory flavor extract),seed- skin removed- germ present,derives from,
5708,21467,coffee (instant- with natural chicory flavor extract),water removal process,formed as a result of,
5708,21562,coffee (instant- with natural chicory flavor extract),instantizing process,formed as a result of,
5708,21543,coffee (instant- with natural chicory flavor extract),roasting seed process,formed as a result of,
5708,21468,coffee (instant- with natural chicory flavor extract),preservation by dehydration or drying,formed as a result of,
5708,21472,coffee (instant- with natural chicory flavor extract),flavoring or spice extract or concentrate added,has substance added,
5709,2978,mint julep jell,semisolid with smooth consistency,has quality,
5709,21456,mint julep jell,fully heat-treated,has quality,
5709,21493,mint julep jell,sucrose,derives from,
5709,21492,mint julep jell,alcoholated,formed as a result of,
5709,21494,mint julep jell,acidified,formed as a result of,
5709,21470,mint julep jell,flavoring or taste ingredient added,has substance added,
5709,21514,mint julep jell,pectin added,has substance added,
5710,21464,shrimp (headless- in shell- frozen),whole- natural shape,has quality,
5710,21508,shrimp (headless- in shell- frozen),whole animal or most parts used,derives from,
5710,21476,shrimp (headless- in shell- frozen),preservation by freezing,formed as a result of,
5714,21502,sandwich spread (with no added sugar- milk-based),semisolid,has quality,
5714,21504,sandwich spread (with no added sugar- milk-based),milk (mammary secretion),derives from,
5714,7931,sandwich spread (with no added sugar- milk-based),no sugars added claim or use,has consumer,
5715,21464,keyhole limpet (raw),whole- natural shape,has quality,
